tile_name,tile_path,paved_plaza_surface_area,paved_plaza_surface_count,paved_plaza_surface_conf,isolated_walkway_area,isolated_walkway_count,isolated_walkway_conf,meandering_sidewalk_area,meandering_sidewalk_count,meandering_sidewalk_conf,fragmented_sidewalk_area,fragmented_sidewalk_count,fragmented_sidewalk_conf,isolated_roadway_area,isolated_roadway_count,isolated_roadway_conf,vegetated_ground_surface_area,vegetated_ground_surface_count,vegetated_ground_surface_conf,road_marking_surface_area,road_marking_surface_count,road_marking_surface_conf,paved_plaza_surface_area_px,isolated_walkway_area_px,meandering_sidewalk_area_px,fragmented_sidewalk_area_px,isolated_roadway_area_px,vegetated_ground_surface_area_px,road_marking_surface_area_px
158598_194005,tiles/158598_194005.jpg,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.3703,2,0.5208,0.1339,2,0.6251,0.0,0,0.0,0.0197,2,0.7302,0,0,0,24267,8775,0,1291
158598_194006,tiles/158598_194006.jpg,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.2585,6,1.6187,0.0565,1,0.7771,0.0,0,0.0,0.0057,1,0.7251,0,0,0,16941,3702,0,373
158598_194007,tiles/158598_194007.jpg,0.0,0,0.0,0.0277,2,0.521,0.0276,2,0.5091,0.1586,3,1.2477,0.1311,1,0.8916,0.0,0,0.0,0.0,0,0.0,0,1815,1808,10394,8591,0,0
158598_194008,tiles/158598_194008.jpg,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.2177,2,0.5114,0.0,0,0.0,0,0,0,0,0,14267,0
158598_194009,tiles/158598_194009.jpg,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0316,1,0.5779,0.0421,2,0.6341,0.1518,2,0.6323,0.0,0,0.0,0,0,0,2070,2759,9948,0
158598_194010,tiles/158598_194010.jpg,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0916,3,0.5531,0.0311,2,0.6914,0.3606,4,0.5997,0.0,0,0.0,0,0,0,6003,2038,23632,0
158598_194011,tiles/158598_194011.jpg,0.0,0,0.0,0.0254,1,0.5047,0.0263,1,0.5347,0.0964,1,0.5551,0.089,1,0.9095,0.0518,1,0.5876,0.0,0,0.0,0,1664,1723,6317,5832,3394,0
158598_194012,tiles/158598_194012.jpg,0.0,0,0.0,0.0421,1,0.6622,0.0427,1,0.6947,0.0994,1,0.6481,0.0938,1,0.9286,0.0,0,0.0,0.0,0,0.0,0,2759,2798,6514,6147,0,0
158598_194013,tiles/158598_194013.jpg,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0556,1,0.918,0.3438,2,0.6322,0.0,0,0.0,0,0,0,0,3643,22531,0
158598_194014,tiles/158598_194014.jpg,0.0,0,0.0,0.0585,4,0.5988,0.0221,4,0.5686,0.0581,2,0.5978,0.0527,2,0.7929,0.0439,5,0.6761,0.0,0,0.0,0,3833,1448,3807,3453,2877,0
158598_194015,tiles/158598_194015.jpg,0.0,0,0.0,0.0,0,0.0,0.0168,1,0.6706,0.0,0,0.0,0.0377,1,0.8851,0.2547,3,0.7,0.0,0,0.0,0,0,1101,0,2470,16692,0
158598_194016,tiles/158598_194016.jpg,0.0,0,0.0,0.0551,2,0.626,0.052,2,0.6268,0.0,0,0.0,0.0912,1,0.7769,0.3106,4,0.6519,0.0073,3,0.6092,0,3611,3407,0,5976,20355,478
158598_194017,tiles/158598_194017.jpg,0.0,0,0.0,0.0098,1,0.5787,0.0099,1,0.5332,0.0,0,0.0,0.0415,2,0.5546,0.5573,4,0.6904,0.0028,1,0.5401,0,642,648,0,2719,36523,183
